OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,INTENSITY // RawImage_MEAN,SHAPE // AREA_(PX^2)
53,191.2995951,25.10931174,1,33286.8583,247
54,194,598,1,33945.60104,193
55,223,485,1,33109.97189,249
56,245,278,1,33867.28514,249
57,248.6453674,46.34185304,1,33361.84984,313
58,278,298.5,1,33944.265,400
59,276,670,1,33117.80734,109
60,328.0105263,306.2210526,1,33169.8807,285
61,354,462,1,33994.11927,109
62,358,151.5,1,33412.54688,448
63,357.7454545,298.6272727,1,33192.44091,220
64,361,437,1,33662.63731,193
65,383,638,1,34047.27711,249
66,392.5,676,1,33943.60185,324
67,403.0305344,172.4885496,1,35505,131
68,465.9071856,179.5658683,1,34380.87425,334
69,489,450,1,33805.39378,193
70,511.7243402,157.3049853,1,34509.21114,341
71,526,437,1,33836.26897,145
72,684.2192067,21.41544885,1,34021.62213,479
73,758,371,1,33115.67251,171
74,780,351,1,33117.68966,145
75,809.8868421,200.2657895,1,34104.50789,380
76,835,218,1,34467.40161,249
77,876,509,1,33105.27536,69
78,907,501,1,33094.15942,69
79,920,232,1,33270.11009,109
80,934,552,1,33984.09845,193
81,939,247,1,33294.67358,193
82,953,183,1,34131.36735,245
83,959,218,1,34130.60622,193
84,969,556,1,34028.44828,145
85,1023,395,1,34192.37751,249
86,1041,412,1,34058.37241,145
87,25,499,2,34016.97101,69
88,44,581,2,33120.12953,193
89,57.24199288,509.6192171,2,33784.5694,281
90,78.13490364,458.2184154,2,33766.76231,467
91,119.9,463.3711111,2,33909.68,450
92,118.1931818,527.2784091,2,35368.23864,176
93,163,570,2,33934.1082,305
94,168,32,2,33406.11111,45
95,186,498,2,33085.62069,145
96,191.3991031,23.80269058,2,33332,223
97,195,598,2,33930.99482,193
98,224,486,2,33114.09639,249
99,248.0092879,278.4736842,2,33834.58514,323
100,254,48,2,33348.46539,419
101,279,298,2,33906.82495,457
102,280,672,2,33140.18349,109
103,325.45,304.7941176,2,33174.55294,340
104,359.4375,149.25,2,33479.97554,368
105,354,462,2,33862.58716,109
106,356.6070039,299.4513619,2,33186.54086,257
107,369,430,2,33651.85492,193
108,383,638,2,34073.8996,249
109,393,676,2,33920.41967,305
110,402.664557,181.8164557,2,34049.62658,158
111,426.7662338,150.6753247,2,34115.61039,154
112,466.3447293,176.8774929,2,34402.40741,351
113,490,452,2,33788.33679,193
114,513.1898734,157,2,34478.69367,395
115,526,437,2,33820.55862,145
116,759,371,2,33119.04138,145
117,780,351,2,33115.6069,145
118,810,199,2,34084.20917,349
119,837,218,2,34480.81928,249
120,876,509,2,33104.43478,69
121,907,501,2,33091.68116,69
122,921.4050633,234.0632911,2,33256.07595,237
123,939,248,2,33294.88601,193
124,940,552,2,33949.89119,193
125,955.0578512,181.0867769,2,34160.24793,242
126,959.5,217,2,34131.71429,266
127,969.5,556,2,34007.0443,158
128,1023,395,2,34104.40964,249
129,1041.5,412,2,34064.36076,158
130,25,498,3,33970.07246,69
131,44,581,3,33116.19689,193
132,54.80346821,508.1878613,3,33757.85838,346
133,79.8125,457.8175,3,33837.3425,400
134,120.0868421,465.5394737,3,34000.17368,380
135,124.1794872,549.8034188,3,34743.58974,117
136,132.2153846,514.2461538,3,34703.34615,130
137,166,570,3,33913.03934,305
138,167,31,3,33367.22222,45
139,186,507,3,33082.53793,145
140,191.7414449,20.71102662,3,33330.61977,263
141,196.5,598,3,33909.636,250
142,227,486,3,33120.47791,249
143,246.0988701,278.9152542,3,33853.0678,354
144,248.5,49,3,33372.97305,334
145,277.4543011,295.5322581,3,33930.6586,372
146,279.5,670,3,33134.75,120
147,323.370229,304.2251908,3,33179.56489,262
148,355,298,3,33186.72632,285
149,355,462,3,33931.93578,109
150,362.2575758,152.9886364,3,33638.82197,264
151,369,430,3,33721.11724,145
152,383,638,3,34090.17671,249
153,393,676,3,33909.5377,305
154,402.2184466,180.2475728,3,33846.46602,206
155,425.2539683,150.8359788,3,33947.53439,189
156,467.1743119,176.3883792,3,34455.38226,327
157,490.5,452,3,33733.28365,208
158,511.2121896,155.3137698,3,34416.92325,443
159,532,436,3,33848.46207,145
160,637,25,3,34939.35862,145
161,686,38,3,34294.33103,145
162,759,371,3,33117.8,145
163,782,347,3,33121.47586,145
164,812.3303965,202.1387665,3,34040.5,454
165,839,218,3,34460.26506,249
166,877,513,3,33103.57971,69
167,907,501,3,33097.75362,69
168,918.5116279,234.1434109,3,33254.03876,258
169,935,551,3,34009.39896,193
170,938,249,3,33304.01554,193
171,953,183,3,34136.57143,245
172,959,216,3,34170.69076,249
173,970,556,3,33947.51034,145
174,1023,395,3,34174.38956,249
175,1042,412,3,34047.71034,145
176,25,500,4,33878.75362,69
177,46,581,4,33115.16062,193
178,53.40583554,501.7188329,4,33763.65252,377
179,84.5,456.5,4,33822.78788,462
180,120.3240506,463.878481,4,33969.26835,395
181,120,548,4,34100.29655,145
182,126.4923077,515,4,34369.6,130
183,165,573,4,33896.86885,305
184,166.4460432,19.60431655,4,33398.66187,139
185,184,495,4,33088.47586,145
186,187.271028,26.74299065,4,33378.88318,214
187,199,611,4,35662.64,25
188,208,582,4,35612.84,25
189,227,490,4,33126.15261,249
190,245,281.5,4,33888.82707,266
191,252.5378151,52.39285714,4,33335.69118,476
192,275,294,4,33949.4821,419
193,286,674,4,33141.72519,131
194,320.108871,300.9475806,4,33182.23387,248
195,355.1908714,298.0414938,4,33187.12863,241
196,355,462,4,33902.89908,109
197,357.6481481,161.6851852,4,34621.25926,54
198,359,130.5,4,34889.76667,30
199,369,430,4,33718.89655,145
200,379,641,4,34140.14458,249
201,393,676,4,33919.0459,305
202,401.5418327,179.5896414,4,33766.15139,251
203,423.2189055,151.3034826,4,33914.81592,201
204,467,168,4,34330.82069,145
205,501,451,4,33709.3057,193
206,512.6358209,154.3880597,4,34547.95821,335
207,537,433,4,33806.63448,145
208,692,32,4,34143,145
209,764,371,4,33119.46207,145
210,782,347,4,33122.45517,145
211,812.778607,200.5024876,4,34077.57214,402
212,845,219,4,34476.69478,249
213,877,513,4,33102.34783,69
214,907,501,4,33093.3913,69
215,919.2943262,232.5106383,4,33248.49645,282
216,937.5,249,4,33279.83654,208
217,939,549,4,34037.10363,193
218,951,180,4,34274.57513,193
219,960,214,4,34110.85141,249
220,970,556,4,33938.07586,145
221,1021,392,4,34340.75172,145
222,1042,412,4,34077.77931,145
223,27,489,5,33952.46377,69
224,48,580,5,33118.32642,193
225,52,501.5,5,33796.82215,298
226,86.56382979,454.858156,5,33962.01418,282
227,119,468,5,33958.1396,351
228,123,551,5,33913.12435,193
229,128,512,5,34320.92414,145
230,161.5,564,5,35304.66667,168
231,184.5545455,27.98636364,5,33376.79545,220
232,184,498,5,33084.08966,145
233,199,611,5,33975.01835,109
234,208,584,5,34194.81651,109
235,225,494,5,33134.8755,249
236,244.5225464,285.4880637,5,33865.43767,377
237,249,53,5,33365.5641,351
238,272.8997613,293.5536993,5,33943.3031,419
239,283.5,670,5,33150.0443,158
240,311.9151943,292.5123675,5,33177.74205,283
241,353,130,5,33532.6879,157
242,351.6164384,165.3767123,5,33584.08219,146
243,353.6904762,299.5595238,5,33184.62698,252
244,355,462,5,33956.79817,109
245,369,430,5,33718.82759,145
246,379,641,5,34133.57028,249
247,393,670,5,33924.25246,305
248,398.3878505,180.7056075,5,33797.59813,214
249,424.6082474,153.9639175,5,33923.26289,194
250,467.3403756,178.5539906,5,34395.57512,426
251,492,448,5,33762.66321,193
252,512.7002725,155.2915531,5,34491.00545,367
253,537,441,5,33822.3931,145
254,688,33,5,33959.5931,145
255,764.5,371,5,33113.28481,158
256,783,344,5,33126.87586,145
257,814.3960114,200.3817664,5,34069.11681,351
258,850,220,5,34535.01606,249
259,877,513,5,33102.31884,69
260,907,503,5,33092.70115,87
261,915.0697674,237.1096346,5,33243.71429,301
262,924.5384615,267.4615385,5,33430.69231,65
263,939,549,5,33989.68912,193
264,939.5,240,5,33797.75,24
265,951,180,5,34139.01036,193
266,955,218,5,34091.65863,249
267,970,556,5,34008.3931,145
268,1017,390,5,34201.66207,145
269,1042,412,5,34116.54483,145
270,27,495,6,33979.31884,69
271,48,580,6,33115.02073,193
272,53.40566038,502.0314465,6,33788.60377,318
273,89.51594203,452.515942,6,33928.06957,345
274,121.9324675,471.4727273,6,33983.7974,385
275,127.7121212,552.8636364,6,33923.44444,198
276,128,513,6,34212.86897,145
277,160.5,577,6,34100.04327,208
278,171,550,6,34336.95413,109
279,183.9530516,34.00938967,6,33386.85915,213
280,186,495,6,33088.46784,171
281,199,611,6,34042.36232,69
282,204,587,6,34042.42202,109
283,228,495,6,33147.64257,249
284,241,286,6,33927.82686,283
285,245.3362319,52.72173913,6,33364.24928,345
286,271,298,6,33954.05413,351
287,278,675,6,33146.07018,171
288,307.0876623,294.3149351,6,33178.30519,308
289,350.253012,131.1927711,6,33476.59036,166
290,349.5862069,162.4413793,6,33480.28966,145
291,355.2959184,299.2687075,6,33194.35034,294
292,356,466,6,33940.69725,109
293,359,433,6,33750.70345,145
294,379,641,6,34158.61446,249
295,398.0929204,179.3539823,6,33760.4115,226
296,393,670,6,35322.56881,109
297,423.3820755,153.9716981,6,33897.66981,212
298,469.2827103,181.2266355,6,34438.91589,428
299,495,449,6,33751.11803,305
300,513.8,155.7786667,6,34467.28267,375
301,538,441,6,33783.73103,145
302,681,35,6,33811.37931,145
303,766,371,6,33121.02069,145
304,783,344,6,33132.71034,145
305,809.9026316,199.4263158,6,34096.11842,380
306,850,222,6,34705.18653,193
307,885,503,6,33106.76812,69
308,907,504,6,33097.56522,69
309,914.4176245,240.9501916,6,33253.82375,261
310,929.55,265.55,6,33282.89,100
311,939,549,6,33967.46557,305
312,943.5,240,6,33299.28704,108
313,953,184,6,34086.84974,193
314,965,221.5,6,34248.49248,266
315,974,558,6,33990.69655,145
316,1019,390,6,34277.94483,145
317,1042,412,6,34031.42069,145
318,24,494,7,34221.3913,69
319,48,572,7,33114.45078,193
320,52,502.5,7,33771.10894,358
321,90.04347826,451.0993789,7,33926.90373,322
322,121.1289474,470.5631579,7,33941.65789,380
323,128.2040134,549.4916388,7,33823.56187,299
324,130,513,7,34108.30345,145
325,157.0510204,576.9115646,7,33852.15306,294
326,168,544,7,33947.00917,109
327,181.8658537,30.80487805,7,33376,246
328,185,485,7,33090.45517,145
329,199,611,7,33907.34783,69
330,204,589,7,33982.75229,109
331,229,495,7,33157.22088,249
332,241.6657143,51.07714286,7,33356.96286,350
333,241.173913,282.6552795,7,33914.15839,322
334,272,302.5,7,33898.75622,402
335,271,673,7,33151.04828,145
336,307.9553265,290.5120275,7,33183.8866,291
337,351.2364865,130.2162162,7,33432.92568,148
338,351.8211679,302.6751825,7,33189.74818,274
339,355.1192661,167.353211,7,33403.50459,218
340,355,464,7,33909.09174,109
341,359,433,7,33750.92414,145
342,383,635,7,35545.04587,109
343,387,674,7,35419.82222,45
344,395.1719298,182.4947368,7,33703.77544,285
345,413,653,7,35235.44,25
346,425.3809524,157.1190476,7,33872.43333,210
347,466,178.5,7,34472.81176,340
